voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Ohm Youngmisuk,ESPN,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Remi Reverchon,BeIN Sport (France),"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","White, Derrick (BOS)",2022,All-Defense
Renjun Bao,Tencent,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Ric Bucher,FS1,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","VanVleet, Fred (TOR)",2022,All-Defense
Rob Mahoney,The Ringer,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Rod Boone,Charlotte Observer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jackson Jr., Jaren (MEM)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Thybulle, Matisse (PHI)",2022,All-Defense
Ryen Russillo,The Ringer,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Sam Amick,The Athletic,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Mobley, Evan (CLE)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Scott Kushner,New Orleans Times-Picayune,"Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jones, Herbert (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","White, Derrick (BOS)",2022,All-Defense
Seerat Sohi,The Ringer,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Payton II, Gary (GSW)","Holiday, Jrue (MIL)",2022,All-Defense
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Shaun Powell,NBA.com,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Murray, Dejounte (SAS)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Stephanie Ready,Turner,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)","Williams III, Robert (BOS)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Holiday, Jrue (MIL)",2022,All-Defense
Stephen A. Smith,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Thybulle, Matisse (PHI)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Steve Aschburner,NBA.com,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Steve Popper,Newsday,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Taylor Rooks,Bleacher Report,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Tim Reynolds,Associated Press,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Beverley, Patrick (MIN)","Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Tatum, Jayson (BOS)",2022,All-Defense
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Zach Lowe,ESPN,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Adam Himmelsbach,Boston Globe,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense
Anthony Chiang,Miami Herald,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defense
Antoni Daimiel,Movistar+,"Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Caldwell-Pope, Kentavious (LAL)","Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Brooks, Dillon (MEM)","Holiday, Jrue (MIL)",2021,All-Defense
Bill Reiter,CBSSports.com,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)",2021,All-Defense
Bill Simmons,The Ringer,"Green, Draymond (GSW)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Murray, Dejounte (SAS)",2021,All-Defense
Brad Townsend,Dallas Morning News,"Butler, Jimmy (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Paul, Chris (PHX)",2021,All-Defense
Brian Mahoney,Associated Press,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)",2021,All-Defense
Brian Windhorst,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defense
Candace Parker,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Butler, Jimmy (MIA)",2021,All-Defense
Cassidy Hubbarth,ESPN,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Chris Broussard,Fox Sports,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","O'Neale, Royce (UTA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Paul, Chris (PHX)","Butler, Jimmy (MIA)",2021,All-Defense
Chris Fedor,Cleveland.com,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","George, Paul (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defense
Chris Haynes,Yahoo! Sports,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Covington, Robert (POR)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defense
Chris Mannix,Sports Illustrated,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Brooks, Dillon (MEM)","Smart, Marcus (BOS)",2021,All-Defense
Christos Tsaltas,SDNA.gr,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)",2021,All-Defense
Daisuke Sugiura,Nihon Keizai Shimbun,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2021,All-Defense
Dan Devine,The Ringer,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Anunoby, OG (TOR)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Dave McMenamin,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Caruso, Alex (LAL)","Butler, Jimmy (MIA)",2021,All-Defense
Dave Pasch,ESPN,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Caruso, Alex (LAL)",2021,All-Defense
Davide Chinellato,La Gazzetta Dello Sport,"Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2021,All-Defense
Dennis Scott,Turner,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Davis, Anthony (LAL)","Capela, Clint (ATL)","McConnell, T.J. (IND)","Butler, Jimmy (MIA)",2021,All-Defense
Diego Martinez,Reforma,"Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defense
Doris Burke,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense
Doug Smith,The Toronto Star,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Turner, Myles (IND)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","VanVleet, Fred (TOR)",2021,All-Defense
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Caldwell-Pope, Kentavious (LAL)",2021,All-Defense
Ernie Johnson,Turner,"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)",2021,All-Defense
Evan Barnes,Memphis Commercial Appeal,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defense
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Brooks, Dillon (MEM)",2021,All-Defense
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2021,All-Defense
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Paul, Chris (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Green, Danny (PHI)",2021,All-Defense
Greg Anthony,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2021,All-Defense
Guillermo Schutz,Televisa (TUDN),"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Turner, Myles (IND)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defense
Howard Beck,Sports Illustrated,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Anunoby, OG (TOR)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)",2021,All-Defense
Jackie MacMullan,ESPN,"Embiid, Joel (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defense
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Mitchell, Donovan (UTA)",2021,All-Defense
Jamal Collier,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","George, Paul (LAC)",2021,All-Defense
James Owczarski,Milwaukee Journal Sentinel,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Jared Greenberg,Turner,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Jason Jones,The Athletic,"Green, Draymond (GSW)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Brown, Jaylen (BOS)","Antetokounmpo, Giannis (MIL)","Wiggins, Andrew (GSW)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","George, Paul (LAC)",2021,All-Defense
Jeff McDonald,San Antonio Express-News,"Adebayo, Bam (MIA)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","McConnell, T.J. (IND)",2021,All-Defense
Jeff Zillgitt,USA Today,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2021,All-Defense
Joe Freeman,The Oregonian,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Turner, Myles (IND)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Joe Mussatto,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2021,All-Defense
Joe Vardon,The Athletic,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense
John Schuhmann,NBA.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","George, Paul (LAC)",2021,All-Defense
Jon Barry,ESPN,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2021,All-Defense
Justin Termine,Sirius Radio,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Murray, Dejounte (SAS)",2021,All-Defense
Keith Pompey,Philadelphia Inquirer and Daily News,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (MIL)","McConnell, T.J. (IND)",2021,All-Defense
Kelly Iko,The Athletic,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense
Kevin Arnovitz,ESPN,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dort, Luguentz (OKC)","Crowder, Jae (PHX)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Green, Danny (PHI)","Leonard, Kawhi (LAC)",2021,All-Defense
Kevin Harlan,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense
